Orch File,Name,..\..\Data\FullOrch.csv,Date,9/30/2015 12:44:24 PM,md5,45653674,version,1
Real Times File,Name,..\..\Data\Movement03Midi\Movement03Timing.csv,Date,9/3/2015 10:16:12 AM,md5,27973187,version,1
Measures Times File,Name,..\..\Data\Movement03Midi\Movement03Measures.csv,Date,9/3/2015 10:14:20 AM,md5,50833863,version,1
MIDI File,Name,..\..\Data\Movement03Midi\Movement03Trmp.mid,Date,5/23/2015 8:04:32 PM,md5,13063473
Start Frame,End Frame,Note,Volume
0,18383,0,0
18384,18392,70,127
18393,18401,70,127
18402,18417,75,127
18418,18482,0,0
18483,18491,75,127
18492,18499,75,127
18500,18516,70,127
18517,18580,0,0
18581,18589,70,127
18590,18598,70,127
18599,18606,75,127
18607,18630,0,0
18631,18639,75,127
18640,18647,75,127
18648,18663,58,127
18664,18679,0,0
18680,18688,58,127
18689,18696,58,127
18697,18713,65,127
18714,18728,0,0
18729,18737,65,127
18738,18745,65,127
18746,18762,65,127
18763,18778,0,0
18779,18787,65,127
18788,18795,65,127
18796,18828,65,50
18829,20336,0,0
20337,20345,70,127
20346,20353,70,127
20354,20369,75,127
20370,20434,0,0
20435,20443,75,127
20444,20451,75,127
20452,20467,70,127
20468,20534,0,0
20535,20544,70,127
20545,20553,70,127
20554,20563,75,127
20564,20590,0,0
20591,20600,75,127
20601,20609,75,127
20610,20618,58,127
20619,20646,0,0
20647,20656,58,127
20657,20665,58,127
20666,20684,65,127
20685,20701,0,0
20702,20711,65,127
20712,20721,65,127
20722,20739,65,127
20740,20757,0,0
20758,20766,65,127
20767,20775,65,127
20776,20812,65,50
20813,23612,0,0
23613,23647,65,100
23648,24038,0,0
24039,24080,58,57
24081,24100,0,0
24101,24142,58,65
24143,24162,0,0
24163,24204,53,73
24205,24286,0,0
24287,24328,58,89
24329,24348,0,0
24349,24390,58,96
24391,24410,0,0
24411,24452,53,104
24453,24473,65,110
24474,24597,0,0
24598,24639,62,50
24640,25204,0,0
25205,25244,70,110
25245,25321,0,0
25322,25361,65,70
25362,25497,0,0
25498,25537,65,50
25538,25556,0,0
25557,25596,62,50
25597,25732,0,0
25733,25772,65,90
25773,25791,0,0
25792,25802,58,50
25803,25811,0,0
25812,25821,58,50
25822,25830,0,0
25831,25841,58,50
25842,25850,0,0
23775,24075,0,0
